City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Nizhneangarsk,RU,2021-11-05 21:16:59,55.7833,109.55,9.54,73,95,7.38
194,Astoria,US,2021-11-05 21:16:59,46.1879,-123.8313,56.14,70,20,7.0
195,Saint-Leu,RE,2021-11-05 21:16:59,-21.15,55.2833,70.95,92,1,8.23
196,Dieppe,FR,2021-11-05 21:17:00,49.75,1.1667,41.02,88,39,4.88
197,Avarua,CK,2021-11-05 21:17:00,-21.2078,-159.775,78.85,61,100,6.91
198,Grand Gaube,MU,2021-11-05 21:17:01,-20.0064,57.6608,75.6,81,4,1.99
199,Hasaki,JP,2021-11-05 21:17:01,35.7333,140.8333,48.6,62,2,13.11
200,Toba,JP,2021-11-05 21:17:02,34.4833,136.85,51.8,64,4,9.53
201,Ijuin,JP,2021-11-05 21:17:03,31.6167,130.4,59.11,70,100,8.88
202,Llangefni,GB,2021-11-05 21:17:03,53.2556,-4.3106,53.73,82,75,16.11
203,Isla Vista,US,2021-11-05 21:17:04,34.4133,-119.861,88.07,41,0,6.04
204,Graham,US,2021-11-05 21:17:04,47.0529,-122.2943,53.02,73,75,1.01
205,Apache Junction,US,2021-11-05 21:17:05,33.4151,-111.5496,89.02,17,1,1.01
206,Bathsheba,BB,2021-11-05 21:17:05,13.2167,-59.5167,83.01,78,40,17.27
207,Chuy,UY,2021-11-05 21:17:05,-33.6971,-53.4616,60.3,77,100,18.72
208,Klyuchi,RU,2021-11-05 21:17:06,52.2667,79.1667,20.7,77,99,13.71
209,Marzuq,YE,2021-11-05 21:17:06,14.4,46.4667,70.39,29,45,0.51
210,Oktyabrskiy,RU,2021-11-05 21:17:06,54.4815,53.471,34.21,45,100,16.22
211,Sinnamary,GF,2021-11-05 21:17:07,5.3833,-52.95,79.21,87,100,9.55
212,Balakhninskiy,RU,2021-11-05 21:17:07,58.0106,114.2769,11.1,86,100,12.37
213,Cabedelo,BR,2021-11-05 21:17:08,-6.9811,-34.8339,81.27,80,10,11.27
214,Kupang,ID,2021-11-05 21:17:08,-10.1667,123.5833,79.38,89,20,4.61
215,Bloemfontein,ZA,2021-11-05 21:16:39,-29.1211,26.214,62.08,45,100,0.0
216,Damoh,IN,2021-11-05 21:17:09,23.8333,79.45,63.09,47,67,1.3
217,Roma,US,2021-11-05 21:17:09,43.2128,-75.4557,46.96,64,75,10.36
218,Saint-Pierre,RE,2021-11-05 21:17:10,-21.3393,55.4781,71.56,64,0,5.75
219,Groningen,NL,2021-11-05 21:17:10,53.25,6.75,49.03,74,40,3.0
220,Coihaique,CL,2021-11-05 21:17:11,-45.5752,-72.0662,61.41,48,0,13.8
221,Perbaungan,ID,2021-11-05 21:17:11,3.5679,98.956,75.31,94,100,4.81
222,Taoudenni,ML,2021-11-05 21:17:12,22.6783,-3.9836,82.04,20,9,9.06
223,Naliya,IN,2021-11-05 21:17:12,23.2667,68.8333,79.23,29,97,7.83
224,Northam,GB,2021-11-05 21:17:12,51.0333,-4.2167,53.38,84,99,7.27
